country,people,war,corruption,freedom,unemployment,life expectancy
Syria ,189605,1,1,1,1,1
Afghanistan,90845,1,0,1,1,1
Kosovo,68005,0,0,1,1,1
Eritrea,33730,0,0,1,1,1
Albania,52755,0,0,0,1,0
Pakistan,31865,1,0,1,0,1
Russia,14650,0,0,1,0,1
Iraq,62075,1,0,1,1,1
Serbia,24845,0,1,0,1,0
Nigeria,19345,1,0,1,1,1
Somalia,16425,1,0,1,0,1
Iran,10125,0,0,1,1,1
Ukraine,15065,1,0,0,1,1
Bangladesh,11305,0,0,1,0,1
Mali,5415,0,0,1,1,1
Gambia,9205,0,0,1,1,1
Macedonia,12850,0,1,0,1,0
Georgia,5615,0,1,0,1,0
